Move title,Release year,Director,Cast,Rating,Users rated,Href
Gladiator,2000,Ridley Scott,"Russell Crowe, Joaquin Phoenix",8.5,1540239,/title/tt0172495/
American History X,1998,Tony Kaye,"Edward Norton, Edward Furlong",8.5,1145665,/title/tt0120586/
The Departed,2006,Martin Scorsese,"Leonardo DiCaprio, Matt Damon",8.5,1360144,/title/tt0407887/
Whiplash,2014,Damien Chazelle,"Miles Teller, J.K. Simmons",8.5,909187,/title/tt2582802/
The Prestige,2006,Christopher Nolan,"Christian Bale, Hugh Jackman",8.5,1368365,/title/tt0482571/
The Usual Suspects,1995,Bryan Singe,"Kevin Spacey, Gabriel Byrne",8.5,1106679,/title/tt0114814/
Casablanca,1942,Michael Curtiz,"Humphrey Bogart, Ingrid Bergman",8.5,584916,/title/tt0034583/
Grave of the Fireflies,1988,Isao Takahata,"Tsutomu Tatsumi, Ayano Shiraishi",8.5,288576,/title/tt0095327/
Harakiri,1962,Masaki Kobayash,"Tatsuya Nakadai, Akira Ishihama",8.5,61389,/title/tt0056058/
The Intouchables,2011,Olivier Nakache,"François Cluzet, Omar Sy",8.5,884084,/title/tt1675434/
Modern Times,1936,Charles Chaplin,"Charles Chaplin, Paulette Goddard",8.4,248967,/title/tt0027977/
Once Upon a Time in the West,1968,Sergio Leone,"Henry Fonda, Charles Bronson",8.4,337857,/title/tt0064116/
Cinema Paradiso,1988,Giuseppe Tornatore,"Philippe Noiret, Enzo Cannavale",8.4,269224,/title/tt0095765/
Rear Window,1954,Alfred Hitchcock,"James Stewart, Grace Kelly",8.4,503040,/title/tt0047396/
Alien,1979,Ridley Scott,"Sigourney Weaver, Tom Skerritt",8.4,905834,/title/tt0078748/
City Lights,1931,Charles Chaplin,"Charles Chaplin, Virginia Cherrill",8.4,188965,/title/tt0021749/
Apocalypse Now,1979,Francis Ford Coppola,"Martin Sheen, Marlon Brando",8.4,683739,/title/tt0078788/
Memento,2000,Christopher Nolan,"Guy Pearce, Carrie-Anne Moss",8.4,1266676,/title/tt0209144/
Django Unchained,2012,Quentin Tarantino,"Jamie Foxx, Christoph Waltz",8.4,1604850,/title/tt1853728/
Indiana Jones and the Raiders of the Lost Ark,1981,Steven Spielberg,"Harrison Ford, Karen Allen",8.4,991458,/title/tt0082971/
WALL·E,2008,Andrew Stanton,"Ben Burtt, Elissa Knight",8.4,1146794,/title/tt0910970/
The Lives of Others,2006,Florian Henckel von Donnersmarck,"Ulrich Mühe, Martina Gedeck",8.4,397368,/title/tt0405094/
Sunset Blvd.,1950,Billy Wilde,"William Holden, Gloria Swanson",8.4,227500,/title/tt0043014/
Paths of Glory,1957,Stanley Kubrick,"Kirk Douglas, Ralph Meeker",8.4,202711,/title/tt0050825/
Avengers: Infinity War,2018,Anthony Russo,"Robert Downey Jr., Chris Hemsworth",8.4,1129402,/title/tt4154756/
The Shining,1980,Stanley Kubrick,"Jack Nicholson, Shelley Duvall",8.4,1052354,/title/tt0081505/
The Great Dictator,1940,Charles Chaplin,"Charles Chaplin, Paulette Goddard",8.4,229236,/title/tt0032553/
Witness for the Prosecution,1957,Billy Wilde,"Tyrone Power, Marlene Dietrich",8.4,129949,/title/tt0051201/
Spider-Man: Into the Spider-Verse,2018,Bob Persichett,"Shameik Moore, Jake Johnson",8.4,592844,/title/tt4633694/
Aliens,1986,James Cameron,"Sigourney Weaver, Michael Biehn",8.3,734198,/title/tt0090605/
American Beauty,1999,Sam Mendes,"Kevin Spacey, Annette Bening",8.3,1175520,/title/tt0169547/
The Dark Knight Rises,2012,Christopher Nolan,"Christian Bale, Tom Hardy",8.3,1746593,/title/tt1345836/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Stanley Kubrick,"Peter Sellers, George C. Scott",8.3,501377,/title/tt0057012/
Inglourious Basterds,2009,Quentin Tarantino,"Brad Pitt, Diane Kruger",8.3,1496777,/title/tt0361748/
Oldboy,2003,Park Chan-wook,"Choi Min-sik, Yoo Ji-tae",8.3,598266,/title/tt0364569/
Coco,2017,Lee Unkrich,"Anthony Gonzalez, Gael García Bernal",8.3,538002,/title/tt2380307/
Amadeus,1984,Milos Forman,"F. Murray Abraham, Tom Hulce",8.3,410651,/title/tt0086879/
Toy Story,1995,John Lassete,"Tom Hanks, Tim Allen",8.3,1021592,/title/tt0114709/
Braveheart,1995,Mel Gibson,"Mel Gibson, Sophie Marceau",8.3,1057697,/title/tt0112573/
Das Boot,1981,Wolfgang Petersen,"Jürgen Prochnow, Herbert Grönemeyer",8.3,256123,/title/tt0082096/
Joker,2019,Todd Phillips,"Joaquin Phoenix, Robert De Niro",8.3,1361704,/title/tt7286456/
Avengers: Endgame,2019,Anthony Russo,"Robert Downey Jr., Chris Evans",8.3,1186438,/title/tt4154796/
Princess Mononoke,1997,Hayao Miyazak,"Yôji Matsuda, Yuriko Ishida",8.3,408147,/title/tt0119698/
Good Will Hunting,1997,Gus Van Sant,"Robin Williams, Matt Damon",8.3,1006965,/title/tt0119217/
Once Upon a Time in America,1984,Sergio Leone,"Robert De Niro, James Woods",8.3,361321,/title/tt0087843/
